Setting,final_cA,final_cB,final_dA,final_dB,all_cA,all_cB,all_dA,all_dB
-g_lr-0.0001-d_lr-0.0001-jsd_lambda-0.2-g_lambda-0.2-rec_lambda-5,0.2138,0.10546875,0.8611660079051383,0.8779644268774703,"[0.9162, 0.935, 0.9482, 0.9528, 0.9552, 0.9566, 0.9502, 0.9546, 0.9576, 0.9608, 0.9574, 0.952, 0.9478, 0.9376, 0.9012, 0.7552, 0.5112, 0.487, 0.567, 0.2138]","[0.5134765625, 0.5083984375, 0.4884765625, 0.5001953125, 0.5443359375, 0.5580078125, 0.5408203125, 0.514453125, 0.519921875, 0.36015625, 0.3203125, 0.2908203125, 0.233984375, 0.28359375, 0.2900390625, 0.2220703125, 0.1408203125, 0.1404296875, 0.15625, 0.10546875]","[1.0, 0.999802371541502, 0.9989130434782608, 0.999604743083004, 0.9974308300395257, 0.9989130434782608, 0.9793478260869565, 0.9900197628458498, 0.9780632411067194, 0.9926877470355732, 0.9647233201581028, 0.9774703557312253, 0.9677865612648221, 0.8721343873517786, 0.8552371541501976, 0.8195652173913044, 0.8392292490118577, 0.7695652173913043, 0.8281620553359684, 0.8611660079051383]","[0.45029644268774704, 0.8448616600790514, 0.7212450592885375, 0.7104743083003953, 0.7197628458498023, 0.7475296442687747, 0.7494071146245059, 0.8822134387351779, 0.8536561264822135, 0.9042490118577076, 0.8837944664031621, 0.8856719367588933, 0.8793478260869565, 0.7478260869565218, 0.8966403162055336, 0.7035573122529645, 0.8438735177865613, 0.8315217391304348, 0.8720355731225297, 0.8779644268774703]"
-g_lr-0.0001-d_lr-0.0001-jsd_lambda-0.2-g_lambda-0.2-rec_lambda-0.2,0.9658,0.2375,0.9962450592885376,0.8204545454545454,"[0.9114, 0.94, 0.9514, 0.957, 0.962, 0.9648, 0.9632, 0.9648, 0.961, 0.9638, 0.9652, 0.9576, 0.9636, 0.9596, 0.9626, 0.9534, 0.9622, 0.9676, 0.9648, 0.9658]","[0.5025390625, 0.51484375, 0.517578125, 0.579296875, 0.6087890625, 0.5873046875, 0.6076171875, 0.5505859375, 0.51640625, 0.4908203125, 0.5466796875, 0.37734375, 0.4017578125, 0.500390625, 0.4541015625, 0.3123046875, 0.326953125, 0.2794921875, 0.3634765625, 0.2375]","[0.9997035573122529, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 1.0, 0.9986166007905138, 0.9927865612648221, 0.9988142292490119, 0.9969367588932806, 0.9993083003952569, 0.9881422924901185, 0.9960474308300395, 0.9934782608695653, 0.9900197628458498, 0.9973320158102766, 0.9936758893280633, 0.9962450592885376]","[0.9479249011857708, 0.8432806324110672, 0.7971343873517787, 0.5018774703557313, 0.8349802371541502, 0.7795454545454545, 0.7311264822134388, 0.6605731225296443, 0.8474308300395257, 0.8404150197628458, 0.925, 0.6974308300395257, 0.7881422924901186, 0.8264822134387352, 0.8645256916996047, 0.7876482213438735, 0.8182806324110672, 0.8380434782608696, 0.8282608695652174, 0.8204545454545454]"
-g_lr-0.0001-d_lr-0.0001-jsd_lambda-0.2-g_lambda-1-rec_lambda-5,0.837,0.19765625,1.0,0.9360671936758893,"[0.9096, 0.9356, 0.9486, 0.9534, 0.9568, 0.9608, 0.9596, 0.96, 0.9522, 0.947, 0.9518, 0.9488, 0.9338, 0.9038, 0.924, 0.903, 0.9344, 0.9206, 0.819, 0.837]","[0.49140625, 0.491796875, 0.5130859375, 0.4939453125, 0.5384765625, 0.5228515625, 0.4318359375, 0.4142578125, 0.369921875, 0.3328125, 0.3376953125, 0.3998046875, 0.3361328125, 0.3046875, 0.3037109375, 0.317578125, 0.3236328125, 0.3140625, 0.23125, 0.19765625]","[1.0, 0.9999011857707509, 0.999802371541502, 0.9999011857707509, 1.0, 1.0, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 1.0, 0.9999011857707509, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999011857707509, 0.9999011857707509, 1.0, 1.0]","[0.8964426877470356, 0.5903162055335969, 0.8586956521739131, 0.8445652173913043, 0.8085968379446641, 0.8227272727272728, 0.7739130434782608, 0.742193675889328, 0.7290513833992095, 0.7532608695652174, 0.7625494071146245, 0.8710474308300395, 0.8518774703557312, 0.858102766798419, 0.7855731225296443, 0.841304347826087, 0.8561264822134388, 0.9211462450592885, 0.9038537549407115, 0.9360671936758893]"
-g_lr-0.0001-d_lr-0.0001-jsd_lambda-1-g_lambda-0.2-rec_lambda-0.2,0.9578,0.1404296875,0.9976284584980237,0.8728260869565218,"[0.8942, 0.9322, 0.9452, 0.9536, 0.9568, 0.9554, 0.956, 0.9574, 0.9592, 0.956, 0.9554, 0.9522, 0.9562, 0.9562, 0.9552, 0.9496, 0.9564, 0.9418, 0.9528, 0.9578]","[0.4939453125, 0.5419921875, 0.5189453125, 0.5533203125, 0.5958984375, 0.5142578125, 0.5044921875, 0.522265625, 0.40546875, 0.471875, 0.3154296875, 0.4115234375, 0.3123046875, 0.23125, 0.2037109375, 0.204296875, 0.15703125, 0.1955078125, 0.1556640625, 0.1404296875]","[1.0, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.999802371541502, 0.9999011857707509, 0.9999011857707509, 1.0, 0.9994071146245059, 0.9983201581027668, 0.9993083003952569, 0.9956521739130435, 0.9869565217391304, 0.9907114624505929, 0.9976284584980237, 0.9982213438735178, 0.9942687747035573, 0.4865612648221344, 0.9262845849802371, 0.9976284584980237]","[0.8123517786561265, 0.9352766798418972, 0.7654150197628459, 0.7653162055335968, 0.5398221343873518, 0.6628458498023715, 0.708201581027668, 0.7446640316205534, 0.6055335968379446, 0.8132411067193676, 0.8682806324110672, 0.8861660079051383, 0.8599802371541502, 0.8706521739130435, 0.8715415019762845, 0.8567193675889329, 0.7563241106719367, 0.8872529644268775, 0.8915019762845849, 0.8728260869565218]"
-g_lr-0.0001-d_lr-0.0001-jsd_lambda-0.2-g_lambda-0.2-rec_lambda-1,0.9636,0.1611328125,0.9990118577075099,0.9104743083003952,"[0.9118, 0.9426, 0.9528, 0.9586, 0.9626, 0.9652, 0.9656, 0.967, 0.9688, 0.9662, 0.9626, 0.9628, 0.9584, 0.9656, 0.9608, 0.9628, 0.9636, 0.9636, 0.962, 0.9636]","[0.49140625, 0.5234375, 0.5640625, 0.56484375, 0.5861328125, 0.565234375, 0.553125, 0.5662109375, 0.5666015625, 0.53203125, 0.519921875, 0.486328125, 0.411328125, 0.329296875, 0.2794921875, 0.2580078125, 0.2865234375, 0.2482421875, 0.2, 0.1611328125]","[1.0, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.999802371541502, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9997035573122529, 0.9958498023715415, 0.9967391304347826, 0.9978260869565218, 0.9901185770750988, 0.9824110671936759, 0.9920948616600791, 0.9965415019762845, 0.9868577075098814, 0.9990118577075099]","[0.8275691699604744, 0.8345849802371541, 0.8952569169960475, 0.7476284584980237, 0.7074110671936759, 0.658201581027668, 0.8623517786561264, 0.725592885375494, 0.8144268774703557, 0.7899209486166008, 0.8246047430830039, 0.8605731225296442, 0.8983201581027668, 0.8620553359683795, 0.8891304347826087, 0.9048418972332016, 0.8262845849802372, 0.8875494071146245, 0.8188735177865613, 0.9104743083003952]"
-g_lr-0.0001-d_lr-0.0001-jsd_lambda-1-g_lambda-5-rec_lambda-0.2,0.7812,0.1640625,0.9630434782608696,0.8717391304347826,"[0.8812, 0.9036, 0.9314, 0.9332, 0.9378, 0.9198, 0.9262, 0.9318, 0.9178, 0.8838, 0.7004, 0.6748, 0.718, 0.7414, 0.7274, 0.7438, 0.8436, 0.8238, 0.7754, 0.7812]","[0.466796875, 0.4970703125, 0.5291015625, 0.5322265625, 0.547265625, 0.5041015625, 0.441796875, 0.4345703125, 0.2623046875, 0.16796875, 0.1068359375, 0.112109375, 0.12109375, 0.135546875, 0.12421875, 0.1388671875, 0.1541015625, 0.180078125, 0.164453125, 0.1640625]","[0.999802371541502, 0.9992094861660079, 0.9898221343873518, 0.9792490118577075, 0.9801383399209486, 0.9675889328063241, 0.9402173913043478, 0.8995059288537549, 0.8953557312252964, 0.857905138339921, 0.7872529644268774, 0.891897233201581, 0.8925889328063241, 0.858102766798419, 0.7464426877470356, 0.8062252964426877, 0.8422924901185771, 0.9656126482213438, 0.6701581027667984, 0.9630434782608696]","[0.7143280632411068, 0.641403162055336, 0.700592885375494, 0.8341897233201581, 0.7160079051383399, 0.7776679841897233, 0.7543478260869565, 0.7364624505928854, 0.6558300395256917, 0.8234189723320158, 0.7799407114624506, 0.8668972332015811, 0.8545454545454545, 0.8351778656126482, 0.7819169960474308, 0.858201581027668, 0.8687747035573122, 0.8848814229249012, 0.8644268774703557, 0.8717391304347826]"
-g_lr-0.0001-d_lr-0.0001-jsd_lambda-1-g_lambda-0.2-rec_lambda-1,0.8748,0.3791015625,1.0,0.9024703557312252,"[0.902, 0.9304, 0.9472, 0.9528, 0.9566, 0.9546, 0.9448, 0.9366, 0.9558, 0.9504, 0.9564, 0.9472, 0.9316, 0.9434, 0.9432, 0.9298, 0.907, 0.9012, 0.8486, 0.8748]","[0.4841796875, 0.51171875, 0.5421875, 0.551953125, 0.5537109375, 0.5365234375, 0.512890625, 0.4337890625, 0.548046875, 0.5142578125, 0.5267578125, 0.4673828125, 0.4552734375, 0.4810546875, 0.4736328125, 0.535546875, 0.5197265625, 0.499609375, 0.4677734375, 0.3791015625]","[1.0, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 1.0, 1.0, 0.9999011857707509, 0.9999011857707509, 1.0, 0.9999011857707509, 0.9999011857707509, 1.0, 1.0]","[0.6543478260869565, 0.7323122529644269, 0.7288537549407115, 0.758498023715415, 0.8138339920948616, 0.8568181818181818, 0.8647233201581027, 0.866403162055336, 0.8572134387351779, 0.8526679841897233, 0.857707509881423, 0.8641304347826086, 0.8825098814229249, 0.9104743083003952, 0.9406126482213438, 0.8383399209486166, 0.9013833992094862, 0.8400197628458498, 0.9215415019762846, 0.9024703557312252]"
-g_lr-0.0001-d_lr-0.0001-jsd_lambda-1-g_lambda-0.2-rec_lambda-5,0.677,0.253515625,0.825296442687747,0.8008893280632411,"[0.9024, 0.9272, 0.9414, 0.9496, 0.9506, 0.945, 0.9466, 0.9532, 0.9486, 0.9432, 0.9262, 0.7922, 0.8138, 0.7998, 0.7762, 0.7192, 0.7622, 0.7382, 0.6268, 0.677]","[0.485546875, 0.4634765625, 0.4662109375, 0.4703125, 0.450390625, 0.4517578125, 0.41796875, 0.355078125, 0.2640625, 0.1109375, 0.11484375, 0.116796875, 0.110546875, 0.133203125, 0.1654296875, 0.169140625, 0.225390625, 0.1728515625, 0.18984375, 0.253515625]","[1.0, 1.0, 0.9994071146245059, 0.9992094861660079, 0.9997035573122529, 0.9985177865612648, 0.9648221343873518, 0.9858695652173913, 0.9937747035573122, 0.9844861660079052, 0.924901185770751, 0.8615612648221344, 0.8410079051383399, 0.8189723320158103, 0.8157114624505929, 0.8365612648221344, 0.8406126482213438, 0.8263833992094861, 0.8458498023715415, 0.825296442687747]","[0.5132411067193676, 0.8752964426877471, 0.7246047430830039, 0.775691699604743, 0.6825098814229249, 0.8471343873517787, 0.8675889328063241, 0.817193675889328, 0.8651185770750988, 0.8485177865612649, 0.8308300395256917, 0.8258893280632411, 0.8738142292490119, 0.6527667984189723, 0.8852766798418973, 0.8952569169960475, 0.8270750988142292, 0.8861660079051383, 0.8713438735177865, 0.8008893280632411]"
-g_lr-0.0001-d_lr-0.0001-jsd_lambda-1-g_lambda-1-rec_lambda-5,0.9254,0.4384765625,1.0,0.941897233201581,"[0.8912, 0.9192, 0.9376, 0.9426, 0.9452, 0.9392, 0.942, 0.9464, 0.9516, 0.9336, 0.9376, 0.924, 0.9298, 0.9368, 0.9416, 0.9356, 0.931, 0.9218, 0.9366, 0.9254]","[0.5013671875, 0.518359375, 0.566796875, 0.5767578125, 0.5759765625, 0.582421875, 0.5712890625, 0.5802734375, 0.5439453125, 0.5384765625, 0.5275390625, 0.54921875, 0.534765625, 0.493359375, 0.5080078125, 0.516796875, 0.4822265625, 0.438671875, 0.4208984375, 0.4384765625]","[1.0, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.999802371541502, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 0.9999011857707509, 1.0, 1.0, 1.0, 1.0]","[0.924901185770751, 0.517094861660079, 0.8689723320158103, 0.808695652173913, 0.5629446640316206, 0.833300395256917, 0.7540513833992095, 0.8594861660079052, 0.833399209486166, 0.8206521739130435, 0.8422924901185771, 0.8366600790513834, 0.7740118577075099, 0.8827075098814229, 0.9208498023715415, 0.9551383399209487, 0.9198616600790513, 0.9278656126482213, 0.9379446640316206, 0.941897233201581]"
-g_lr-0.0001-d_lr-0.0001-jsd_lambda-1-g_lambda-1-rec_lambda-1,0.9218,0.1685546875,0.8049407114624506,0.8220355731225296,"[0.8882, 0.9134, 0.9352, 0.94, 0.9432, 0.9482, 0.9428, 0.942, 0.9416, 0.9282, 0.948, 0.9472, 0.943, 0.9392, 0.941, 0.9448, 0.8954, 0.9408, 0.9356, 0.9218]","[0.4880859375, 0.506640625, 0.5220703125, 0.5349609375, 0.5791015625, 0.58046875, 0.56796875, 0.5314453125, 0.5421875, 0.4890625, 0.31484375, 0.33515625, 0.2892578125, 0.2435546875, 0.3318359375, 0.3072265625, 0.366015625, 0.2337890625, 0.1400390625, 0.1685546875]","[0.9999011857707509, 0.9999011857707509, 0.9997035573122529, 0.999802371541502, 0.9999011857707509, 0.999802371541502, 0.9932806324110672, 0.9978260869565218, 0.9910079051383399, 0.9870553359683795, 0.9980237154150198, 0.9884387351778656, 0.9907114624505929, 0.9935770750988142, 0.9625494071146246, 0.9888339920948617, 0.9151185770750988, 0.9960474308300395, 0.9648221343873518, 0.8049407114624506]","[0.7457509881422925, 0.9485177865612648, 0.8643280632411067, 0.7020750988142292, 0.733794466403162, 0.8053359683794467, 0.8305335968379447, 0.8083992094861661, 0.8569169960474309, 0.8088932806324111, 0.8617588932806324, 0.7932806324110672, 0.8121541501976285, 0.8240118577075098, 0.9111660079051384, 0.9234189723320159, 0.9456521739130435, 0.825197628458498, 0.9456521739130435, 0.8220355731225296]"
